card_code,card_name,card_color,card_rarity,card_type,card_level,digimon_form,digimon_type,play_cost,dp,digimon_attribute,card_effect,security_effect,inherited_effect,digivolve_cost1,digivolve_lvl1,digivolve_color1,digivolve_cost2,digivolve_lvl2,digivolve_color2,reprints_and_alts_amount,alt_digivolution_req,restriction_japan,restriction_west,set_name_japan,set_name_west,set_restrictionJP_date,restriction_date_west,set_west_date,set_jp_date,west_meta_decks1,west_meta_decks2,west_meta_decks3,west_meta_decks4,west_meta_decks5,west_meta_decks6,west_meta_decks7,west_meta_decks8,jp_meta_decks1,jp_meta_decks2,jp_meta_decks3,jp_meta_decks4,jp_meta_decks5,jp_meta_decks6,jp_meta_decks7,jp_meta_decks8,jp_meta_decks9,jp_meta_decks10
ST1-01,Koromon,Red,Uncommon,Digi-Egg,2.0,In-Training,Lesser,,,,,,"[Your Turn] While this Digimon has 4 or more digivolution cards, it gets +1000 DP.",,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.21039975954313195,0.03643872221547431,0.44096031357177856,0.08292856296647316,0.0,0.0,0.06264682850430697,0.5270092226613966,0.3303411131059246,0.08847208705653366,0.352745884631346,0.2837977296181631,0.046674445740956826,0.0,0.0,0.03715538381511481,0.026232948583420776,0.0
ST1-02,Piyomon,Red,Common,Digimon,3.0,Rookie,Bird,2.0,3000.0,Vaccine,,,,0.0,2.0,Red,,,,4,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.6311992786293958,0.07287744443094862,0.19598236158745713,0.16585712593294633,0.0,0.0,0.0,0.0,1.1131059245960502,0.34504113952048127,0.12449854751694564,0.23864809081527347,0.0,0.04155782474471622,0.0,0.0,0.006558237145855194,0.0
ST1-03,Agumon,Red,Uncommon,Digimon,3.0,Rookie,Reptile,3.0,2000.0,Vaccine,,,[Your Turn] This Digimon gets +1000 DP.,0.0,2.0,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.9618274721971746,0.2915097777237945,0.6246937775600196,0.6278876910318683,0.22015022015022012,0.0,0.20360219263899768,0.0,1.4434470377019748,0.5396797310448553,0.8645732466454559,0.6772445820433437,0.6067677946324388,0.0,0.1381533502187428,0.09660399791929851,0.1114900314795383,0.04707359171504786
ST1-04,Dracomon,Red,Common,Digimon,3.0,Rookie,Dragon,3.0,4000.0,Data,,,,0.0,2.0,Red,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST1-05,Birdramon,Red,Common,Digimon,4.0,Champion,Giant Bird,4.0,5000.0,Vaccine,,,,2.0,3.0,Red,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST1-06,Coredramon,Red,Common,Digimon,4.0,Champion,Dragon,5.0,6000.0,Virus,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).[When Attacking] Lose 2 memory.",,,2.0,3.0,Red,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.9618274721971746,0.21863233329284587,0.09799118079372857,0.023693875133278048,0.06475006475006474,0.0,0.0,0.0,1.3357271095152603,0.46890206139962837,0.1314151334901093,0.04514963880288957,0.046674445740956826,0.017810496319164097,0.0,0.0,0.0,0.0
ST1-07,Greymon,Red,Uncommon,Digimon,4.0,Champion,Dinosaur,5.0,4000.0,Vaccine,,,<Security Attack +1> (This Digimon checks 1 additional security card).,2.0,3.0,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.8415990381725278,0.08502368516944005,0.6001959823615874,0.7582040042648975,0.3885003885003885,0.40987424312994875,0.15661707126076743,0.0,1.0341113105924595,0.2123330089356808,0.7608244570480012,0.9481424148606812,0.6534422403733956,0.35620992638328186,0.644715634354133,0.587055064278814,0.7476390346274921,0.3452063392436843
ST1-08,Garudamon,Red,Uncommon,Digimon,5.0,Ultimate,Birdkin,6.0,7000.0,Vaccine,[When Digivolving] 1 of your Digimon gets +3000 DP for the turn.,,,3.0,4.0,Red,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST1-09,Metal Greymon,Red,Rare,Digimon,5.0,Ultimate,Cyborg,7.0,7000.0,Vaccine,,,"[Your Turn] When this Digimon is blocked, gain 3 memory.",3.0,4.0,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.0,0.04858496295396575,0.1224889759921607,0.047387750266556096,0.0,0.0,0.0,0.0,0.02154398563734291,0.017694417411306736,0.1659980633559275,0.0,0.0,0.04749465685110425,0.0,0.0,0.0,0.0
ST1-10,Hououmon,Red,Rare,Digimon,6.0,Mega,Holy Beast,10.0,12000.0,Vaccine,,,,2.0,5.0,Red,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,1.23234144875263,0.024292481476982875,0.0,0.0,0.0,0.0,0.0,0.0,1.2280071813285458,0.2123330089356808,0.0899156176511274,0.03869969040247678,0.0,0.0,0.0,0.0,0.0,0.0
ST1-11,War Greymon,Red,Super Rare,Digimon,6.0,Mega,Dragonkin,12.0,12000.0,Vaccine,"[Your Turn] For every 2 digivolution cards this Digimon has, it gains <Security Attack +1> (This Digimon checks 1 additional security card).",,,4.0,5.0,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.06011421701232341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181328545780969,0.0,0.04841610181214552,0.0,0.0,0.005936832106388032,0.0,0.0,0.0,0.0
ST1-12,Yagami Taichi,Red,Rare,Tamer,,,,2.0,,,[Your Turn] All of your Digimon get +1000 DP.,[Security] Play this card without paying its memory cost.,,,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.30057108506161706,0.5465808332321146,0.14698677119059284,0.11846937566639025,0.11655011655011654,0.0,0.031323414252153486,0.0,0.1436265709156194,0.0265416261169601,0.0760824457048001,0.10319917440660474,0.14002333722287047,0.011873664212776063,0.0,0.014862153526045923,0.0,0.0
ST1-13,Shadow Wing,Red,Common,Option,,,,1.0,,,[Main] 1 of your Digimon gets +3000 DP for the turn.,[Security] All of your Digimon gain <Security Attack +1> (This Digimon checks 1 additional security card) until the end of your next turn.,,,,,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017694417411306736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST1-14,Starlight Explosion,Red,Common,Option,,,,2.0,,,[Main] All of your Security Digimon get +7000 DP until the end of your opponent's next turn.,[Security] All of your Security Digimon get +7000 DP for the turn.,,,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST1-15,Giga Destroyer,Red,Common,Option,,,,6.0,,,[Main] Delete up to 2 of your opponent's Digimon with 4000 DP or less.,[Security] Activate this card's [Main] effect.,,,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181328545780969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST1-16,Gaia Force,Red,Uncommon,Option,,,,8.0,,,[Main] Delete 1 of your opponent's Digimon.,[Security] Activate this card's [Main] effect.,,,,,,,,4,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,1.833483618875864,1.1538928701566866,0.8084272415482606,0.9003672550645658,0.6475006475006475,0.12109920819748488,0.0,0.13175230566534915,1.0197486535008977,0.7077766964522693,1.0859039977866924,0.8255933952528379,0.6301050175029171,0.1306103063405367,0.023025558369790467,0.23036337965371181,0.13772298006295908,0.06276478895339715
ST2-01,Tunomon,Blue,Uncommon,Digi-Egg,2.0,In-Training,Lesser,,,,,,[Your Turn] This Digimon gets +1000 DP when battling an opponent's Digimon that has no digivolution cards.,,,,,,,1,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181328545780969,0.0,0.006916585973163646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST2-02,Gomamon,Blue,Common,Digimon,3.0,Rookie,Sea Beast,2.0,3000.0,Vaccine,,,,0.0,2.0,Blue,,,,3,,Unrestricted,Unrestricted,ST2,ST2,,,2020-11-27,2020-04-24,1.2022843402464682,0.4129721851087088,0.2082312591866732,0.11846937566639025,0.0,0.018630647414997672,0.0,0.0,0.8689407540394973,0.3804299743430948,0.3043297828192004,0.14189886480908154,0.046674445740956826,0.005936832106388032,0.0690766751093714,0.0,0.0,0.0
